user_name,status,datetime
Team Cornyn,"Texas’ innovation is both inspiring and incredible to see: 
https://t.co/agCc2qCgWU",2020-06-13 13:31:06.961480
Joni Ernst,Congratulations! Thank you for choosing to serve our country in this way! #GoArmy 🇺🇸,2020-06-13 13:32:38.445165
Senator Kelly Loeffler,I joined my colleagues in asking @CMSGov &amp; @HHSGov to prioritize funding from the CARES Act for hospitals caring for some of our most vulnerable patients. More: https://t.co/vEkLwfSmJ0,2020-06-13 13:34:31.764333
Sen. John Barrasso,"Beautiful day in Greybull for the Days of ‘49 parade. For 75 years, friends and families have come together to commemorate #Wyoming’s unique western heritage at this iconic local celebration. https://t.co/2JVGO6sQPB",2020-06-13 13:55:43.786208
Sen. Jim Inhofe,"I cosponsored the Child Welfare Provider Inclusion Act, ensuring faith-based child welfare providers can operate in accordance w/ their religious beliefs. As long as we have children in need of assistance or a family, we should be ensuring all organizations that want to help can.",2020-06-13 14:00:05.934080
Joni Ernst,"Next #99CountyTour stop: Onawa! Had a great discussion w/Monona Co. leaders about their #COVID19 response, struggles &amp; successes. The community engaged in a wide-scale volunteer effort to provide PPE for health care providers. Thx for stepping up &amp; helping out during this crisis! https://t.co/Wu8hWm2T2y",2020-06-13 14:16:02.155654
Martha McSally,"Great to hear that @TaronisFuels is bringing up to 500 new jobs to Peoria!
https://t.co/2u9Chm9Uyd",2020-06-13 14:50:41.180019
Ted Cruz,Please stop being ridiculous. #ThisIsNuts,2020-06-13 14:51:53.781599
Sen. Jim Inhofe,"All human beings—whether old or young, unborn or not, adopted or searching for a home—have God-given value. The children in our foster care system are no different. That’s why I support life at every stage, and I will continue to fight for these children at the federal level.",2020-06-13 15:00:06.355945
Rob Portman,"For nearly 20 yrs the federal government has done little to protect U.S. telecommunications networks from abuse by the Chinese government. 

This lack of oversight has endangered our national and economic security. https://t.co/lBH55VDGRL",2020-06-13 15:05:01.467339
Thom Tillis,"Thank you to Mr. Knox, for his many years of service to protecting our communities and defending our freedoms!

https://t.co/zLeX0EzEgv",2020-06-13 15:05:10.133422
Ted Cruz,Who voted for the warlords?,2020-06-13 15:30:11.088478
Sen. Lisa Murkowski,"I have long supported funding for the arts because I recognize the benefits they provide communities across Alaska. I’m encouraged to see that 6 organizations in Alaska received grants totaling $840,000 to support these organizations so critical to the cultivation of the arts.",2020-06-13 15:39:20.751805
Sen. Marsha Blackburn,"Networks are canceling shows portraying law enforcement in a positive light in order to pander to the woke leftist mob. 

Meanwhile, Hollywood studio elitists speak their mind behind closed doors.
https://t.co/PighS3nK8v",2020-06-13 16:08:40.209887
Joni Ernst,Back in Cass County today to visit with the hardworking folks at Rex Pharmacy in Atlantic! We discussed my efforts to lower prescription drug costs for all Iowans and some of the challenges they’ve worked through during #COVID19. #99CountyTour https://t.co/tcoFSVtD2d,2020-06-13 16:40:57.908976
Rob Portman,"Heartbreaking news coming out of the Cincinnati area, where there has been 25 overdose deaths in the first 10 days of June. 

The Coronavirus pandemic has made it harder to address another disease — drug addiction. https://t.co/y2TlFf9d06",2020-06-13 16:51:12.145281
Tim Scott,#DefundthePolice? Absolutely NOT! We need real solutions. The #JUSTICEAct gives them. #TwoWithTim https://t.co/3Wsl5AI5IC,2020-06-13 17:00:06.211018
Thom Tillis,"We’ve got to take care of our brave veterans who fought for our freedoms, for the Gold Star families, for our active duty personnel who continue to uphold the call to serve. https://t.co/lOLmIAO8mU",2020-06-13 18:05:03.235862
Sen. Lisa Murkowski,This week on my @EnergyGOP podcast I was pleased to discuss the recent announcement that @CCHRC_Alaska is partnering with the Department of @Energy’s @NREL – great news for #innovation. https://t.co/SgMc6G8Xyb,2020-06-13 19:03:42.571720
Martha McSally,"Congratulations to Tucson’s Nick Gonzales on getting drafted by the @Pirates this week!
https://t.co/UOtpzXUoUc",2020-06-13 19:16:05.375673
Tim Scott,"🇺🇸A beautiful symbol that represents the greatest nation in the world. 
Happy #FlagDay! https://t.co/liPt2NvJBU",2020-06-14 05:00:06.440433
